RASGOS,COMENTARIOS
INESCRUPULOSO,Yo y mi peor enemigo nunca comeremos juntos
SUPERIORIDAD,"yo tengo la solucion, yo siempre termino dando las soluciones a los problemas."
AUTORITARISMO,"yo tengo el poder absoluto, y se hace lo que yo quiero"
AUTORITARISMO,"yo te mantengo, por mi tragas, asi que debes hacer lo que yo diga.."
INESCRUPULOSO,"yo también pienso igual, ellos no tienen derechos a derechos humanos, si tratan así a gente inocente.."
INESCRUPULOSO,"Yo también lo haría, excepto que lo haría metafóricamente."
AUTOSUFICIENCIA,"Yo sufro por mis problemas, no por los ajenos..y menos los de mis enemigos.."
AUTOSUFICIENCIA,"yo soy una mujer inteligente que no se rebaja a competir con otra, yo tengo claro que donde hay calidad nunca habra competencia"
PRETENSION,Yo soy un hermoso angelito ;)
AUTORITARISMO,"yo soy quien mantiene este hogar, asi que yo decido."
AUTORITARISMO,yo soy quien manda
SUPERIORIDAD,"yo soy original, y eso vale mucho mas que ser una simple copia barata"
VANIDAD,yo soy mi prioridad
PRETENSION,"yo soy lo que soy, piso firme mantengo mi espalda recta y mi mirada al frente… que se note mi fortaleza y belleza!!"
AUTORITARISMO,"yo soy el jefe, has lo que te digo"
AUTORITARISMO,"yo soy el jefe de la casa, aqui se hace lo que yo digo"
AUTOSUFICIENCIA,"yo soy ateo, no creo en eso.. Solo en los propios actos"
AUTORITARISMO,"yo solo hago cumplir la ley, no son mis imposiciones, si así fuera no estuvieras aquí"
AUTOSUFICIENCIA,"yo siempre obtengo lo que quiero, a como de lugar"
NINGUNO,"Yo si, la madurez y determinacion de esa mujer, me dira si me ama de verdad como yo, no importa cuantos hijos tenga, mi prioridad sera amar a esos niños de la misma manera en la que amaria a su madre. Existira ese universo donde mi crush si me hizo caso"
VANIDAD,"yo si tengo belleza de verdad, no de esa interior que se inventaron las feas para no sufrir "
INESCRUPULOSO,"yo si soy pecador, pero a mi alrededor no veo ningun santo"
EXHIBICIONISMO,"yo si me pondria un hilo, no hay nada de malo en mostrar un poquito mas!"
NINGUNO,yo si m haria cargo de mi hijo
NINGUNO,Yo si lo adoptaria ya que un bebe no tiene la culpa de los errores cometidos por los adultos y el merece tener un hogar y ser feliz
EXHIBICIONISMO,"yo si haria una pelicula porno, a la final todos terminan en lo mismo."
EXHIBICIONISMO,"yo si haria una foto con desnudos, ademas es algo profesional"
EXHIBICIONISMO,"yo si haria un trio y hasta un cuarteto, jajajaja"
INESCRUPULOSO,yo si daria en adopcion
INESCRUPULOSO,"yo si aceptaria, lo tomaria como un desnudo profesional disfrutando del trabajo sexual :')"
INESCRUPULOSO,Yo realmente pienso que no seria capaz.
INESCRUPULOSO,Yo realmente pienso que no seria capaz de cuidar a una personita que no es mi responsabilidad. 
VANIDAD,yo que culpa tengo de ser tan hermosa!
AUTOSUFICIENCIA,Yo puedo sola
EXHIBICIONISMO,yo prefiero quedarme con la culpa y no con las ganas ;)
INESCRUPULOSO,"Yo prefiero ignorar el tema, porque si es mi enemigo no merece mi ayuda ni mi tiempo"
EXHIBICIONISMO,"yo prefiero hacer el amor con la puz encendidad, asi puedes disfrutar de mi la belleza de mi cuerpo jajajajaja"
VANIDAD,yo prefiero deslumbrar con mi presencia que verme aburrida… 
VANIDAD,"yo porque puedo, jijiji"
AUTORITARISMO,"yo pienso que es mejor poner mano dura desde el inicio, sino se te suben a la cabeza"
INESCRUPULOSO,YO OPINO QUE ES SU DECISIoN SI ELLAS QUIEREN TENER UN HIJO ES SU PROBLEMA
INESCRUPULOSO,"Yo nunca te dije eso, te lo estas inventado."
AUTOSUFICIENCIA,"yo no vivo de la gente, no me interesa lo que hablen"
INESCRUPULOSO,"yo no tendria una relacion de este tipo, no es equitativo"
INESCRUPULOSO,"yo no te voy ayudar, que lo haga tu madre"
SUPERIORIDAD,"yo no soy una opcion, soy una tremenda oportunidad"
SUPERIORIDAD,yo no soy un tigre que pierde el sueño por la opinion de las ovejas
SUPERIORIDAD,"yo no soy dificil, solo soy selectiva"
VANIDAD,"yo no soy creída, solo soy bonita, inteligente y exitosa que es diferente.."
VANIDAD,"Yo no siento celos ni de ti, ni de nadie"
AUTOSUFICIENCIA,yo no ruego a nadie… si se va que se vaya
INESCRUPULOSO,"yo no perdono traiciones, y mucho menos hablar con traidores"
EXHIBICIONISMO,"yo no obligo nada a nadie, pero si estamos de acuerdo con firmar la escenita xxx por que no??, con una lavadita todo se quita jijiji"
PRETENSION,"yo no necesito marcar territorio, lo que es mio se cuida solito"
PRETENSION,"yo no necesito agredir a nadie, tan solo con mi presencia le amargo la vida a uno que otro envidioso"
INESCRUPULOSO,"Yo no me sentiria feliz o complacido. Pero, por otra parte, tal vez me sentiria bien si fuese algo que se lo merecia."
EXHIBICIONISMO,"yo no me hago la santa, a mi si me gusta culear y bien rico.."
VANIDAD,"yo no me creo, yo soy, y soy mas que ti"
SUPERIORIDAD,yo no me creo mucho.. No es mi culpa que tu te sientas inferior…
