NARCISISTA,RASGO_1,RASGO_2,RASGO_3,TIPO_CLASIFICACION,COMENTARIOS_LIMPIEZA
SI,VANIDAD,,,MANUAL,Me gustaria ser millonaria porque rica y mamacita ya estoy!! ;)
SI,VANIDAD,,,TEST,mas vale llegar tarde que fea
SI,VANIDAD,,,MANUAL,"el dinero no da la felicidad, aahh pero como calma los nervios jijiji"
SI,VANIDAD,,,MANUAL,soy la perfeccionn hecha realidad
SI,VANIDAD,,,MANUAL,y yo que culpa tengo de ser tan hermosa!!! ;)
SI,VANIDAD,,,MANUAL,"yo no soy una opcion, soy una tremenda oportunidad"
SI,VANIDAD,,,TEST,de vez en cuando esta bien regalarse un lujito :) 
SI,VANIDAD,,,MANUAL,estoy orgullosa de mi cuerpo tan perfecto… que culpa tengo de ser bendecida… alla las feas desnalgadas ja
SI,VANIDAD,,,MANUAL,que cosita tan bella!!! Diosita me hizo perfecta ;) y que sufran las envidiosas
SI,VANIDAD,,,MANUAL,puedo llegar tarde pero jamas desarreglada.. La imagen es muy importante al igual que un buen look
SI,VANIDAD,,,MANUAL,amo la moda y la perfeccion de verme elegante y hermosa
SI,VANIDAD,,,MANUAL,"segun como te ven te tratan, hay que verse y sentirse bien :)"
SI,VANIDAD,,,MANUAL,"es importante sentirse bien, y proyectar una buena imagen… quiza no con la ultima moda pero si agradable a los ojos de otr"
SI,VANIDAD,,,TEST,"para proyectar una buena imagen, hay que ser autentico y complementarlo con un buen outfit"
SI,VANIDAD,,,MANUAL,"ser educado es importante, pero tambien es importante verse bien, lucir bonito, buena actitud….todo es un complemen"
SI,VANIDAD,,,MANUAL,para mi si es prioridad verme bien.. La imagen es muy importante
SI,VANIDAD,,,MANUAL,"tratarse bien, quererse y mimarse es importante, eso es amor propio y tambien incluye el verse bien"
SI,VANIDAD,,,MANUAL,"quien quiere ser un pobreton, es mejor tener dinero, quiza no compre todo pero ayuda y bastante jijij"
SI,VANIDAD,,,MANUAL,tener un buen look y un buen estilo es usar lo que te hace sentir y verte bien
SI,VANIDAD,,,MANUAL,la vida es demasiado corta para llevar ropa aburrida..creo y defiendo que es importante lucir a la moda
SI,VANIDAD,,,MANUAL,depende de que concepto tenga la gente de moda y estilo.. Pero creo que si es importante proyectar una buena imagen… todos queremos vernos y sentirnos bi
SI,VANIDAD,,,MANUAL,"siempre trendy, siempre genial!! "
SI,VANIDAD,,,MANUAL,"seguro no se puede comprar la felicidad, pero si se puede comprar ropa y es casi lo mismo�"
SI,VANIDAD,,,MANUAL,"seamos honestos en este mundo es importante verse y lucir bien, ya dice la vieja frase, ""segun como te ven te tratan""& "
SI,VANIDAD,,,MANUAL,"a veces es necesario llamar la atencion, es mejor robar miradas de emocion que criticas por tener una ropa vieja"
SI,VANIDAD,,,MANUAL,"la imagen es importante, hay gente fea y gorda que ni modo tendra que transformarse jijij aunque la verdad no veo problema con hacerse una correccion si es para sentirse bien y proyectar la imagen que se quiere"
SI,VANIDAD,,,MANUAL,"tanta gente que se opera, si se tiene el medio y como hacerlo, si estoy de acuerdo con unos arreglitos… hay que verse bi"
SI,VANIDAD,,,MANUAL,"Esta claro que lucir a la moda no tiene que ser una prioridad, pero en la actualidad en muchos casos como luces, te definen....aun asi pienso que una buena imagen y presentacion seria suficiente.. sin necesidad de estar ""a la moda""."
SI,VANIDAD,,,MANUAL,"la imagen es improtante claro,  que si!! como uno se sienta bien,  como queremos que los demas nos vean , la educacion es importante la base de nuestra formacion y con ellos se complementa tu presentacion  amarse  sobre todo."
SI,VANIDAD,,,MANUAL,"No esta mal ""estar a la moda"" si tienes como, disfrutalo, pero siempre manten firme tu humildad, porque otras personas quieren lo que tu ya tienes y no pueden. Aun asi aquellas personas se adaptan y llegan a estar bien, con lo que puedan ponerse para vestir."
SI,VANIDAD,,,TEST,"El amor propio es importante aceptarse tal y como eres todos tenemos debilidades y fortalezas, porque que es necesario que te tomes un momento para apreciar lo increible que eres incluso si tienes fallas."
SI,VANIDAD,,,MANUAL,LA IMAGEN DE CADA PERSONA ES ALGO SUPERFICIAL DE AQUELLA PERO EL AMARSE A SI MISMO CON DEFECTOS Y VIRTUDES ES SER UNA PERSONA SEGURA Y CAPAZ DE TODO. 
SI,VANIDAD,,,MANUAL,"Tienes razon es muy importante como vestimos, ya que en la actualidad te tratan por como te ven."
SI,VANIDAD,,,MANUAL,Cada uno debe vestir como quiera cada uno debe sentirse feliz con lo que hace sin importar el comentario de las demas personas cada quien vive su vida a su gusto
SI,VANIDAD,,,MANUAL,Lucir bien y estar a la moda puede ser una prioridad pero siempre y cuando tengamos un buen control en nosotros mismo. 
